"City","Fatalities","Median.Age","Male.Population","Female.Population","Foreign.born","Average.Household.Size","White","Black or African-American","Hispanic or Latino","Asian","American Indian and Alaska Native"
"Chattanooga",5,36.6,83640,92957,10599,2.4,114140,59918,10918,4602,1092
"Concord",5,39.6,62310,66358,37428,2.72,92575,6150,41400,17453,1447
"Corona",5,37.1,79749,84493,42131,2.97,119403,9437,68592,21044,2268
"Elk Grove",5,36.1,80057,86833,38693,3.34,86909,20185,28781,59424,2020
"Garden Grove",5,37.8,86779,88605,80677,3.66,66782,1840,66038,71737,1713
"Greeley",5,31,50792,50091,11480,2.75,92874,2856,39271,2202,2449
"Jersey City",5,34.3,131765,132512,109186,2.57,99300,65051,79718,67610,3356
"Las Cruces",5,32.7,47835,53809,11888,2.58,91201,3825,60614,3266,2368
"Lincoln",5,32.3,138544,138802,22958,2.4,246677,16445,20296,15138,4281
"Metairie",5,41.6,69515,76943,19871,2.39,124270,17263,19703,4791,438
"Montgomery",5,35.4,94582,106004,9337,2.41,73545,121360,6648,6518,1277
"Norwalk",5,35,53125,54020,39396,3.88,46998,5195,76020,16189,1165
"Odessa",5,31.2,61119,57861,15845,2.92,106944,7647,63586,2252,1134
"Ogden",5,31.3,44323,41127,12791,2.68,74960,2620,28275,1911,1717
"Providence",5,29.9,89090,90114,53532,2.72,97885,30638,77968,13432,4171
"Santa Clara",5,35.2,63278,62938,52281,2.75,55847,4580,22402,58360,1354
"Santa Maria",5,30.1,53320,51762,39192,3.83,90403,1237,81551,5058,1575
"Santa Monica",5,40.6,46732,46487,24448,2,70365,9663,14973,13283,2197
"Santa Rosa",5,37.9,86840,88149,33015,2.7,138506,7157,54578,13496,8859
"Simi Valley",5,39,63243,63523,23260,3.13,107898,2378,34032,14984,2474
"Sioux Falls",5,34.6,86596,84934,12934,2.38,149298,10904,9388,4689,4623
"Trenton",5,33.3,42581,41650,20428,3.04,37683,43471,30613,1437,98
"Bellevue",4,37.4,70763,69051,54654,2.43,82378,4151,12215,52223,1949
"Bend",4,37.3,42294,44723,3032,2.39,83689,465,8173,2726,1818
"Bloomington",4,40.9,43318,43118,10728,2.3,71874,5828,8021,4689,1745
"Boulder",4,29,56342,51000,12993,2.24,98243,1615,9795,8772,767
"Cedar Rapids",4,36.2,63109,67296,5404,2.32,116851,11921,5328,5406,1243
"Chesapeake",4,36.7,114964,120465,13966,2.73,150414,73850,12959,11354,2087
"Chula Vista",4,34.6,131485,134269,82710,3.32,183753,15641,156522,48506,1652
"Citrus Heights",4,37.8,41982,45071,9466,2.49,77525,5979,14661,3615,1514
"Colorado Springs",4,34.8,225544,231018,35320,2.48,374900,38976,78711,22619,11146
"Davenport",4,35.2,50123,52454,4065,2.39,88145,12761,9131,3071,901
"Des Moines",4,34.5,103726,106591,23857,2.41,168057,26353,25306,15205,3964
"Dothan",4,38.9,32172,35364,1699,2.59,43516,23243,1704,1175,656
"Duluth",4,34.7,41271,44855,2258,2.25,81720,3891,1981,1721,1894
"Eugene",4,33.4,79071,84377,14503,2.34,146807,5632,17356,11073,5035
"Fairfield",4,34.7,55550,57422,24503,3.14,64106,18274,32976,22428,1016
"Federal Way",4,36.4,49151,46037,18565,2.68,59035,15495,14049,16026,2396
"Frederick",4,36.1,33146,36336,14211,2.48,49181,13372,13065,5711,1333
"Gresham",4,36.7,53866,56716,17860,2.67,94904,7721,23576,6641,2084
"Hillsboro",4,35.3,50926,51434,19531,2.68,81072,4347,22169,13704,4524
"Kennewick",4,32,38492,40411,8376,2.78,65228,2887,19395,4252,1101
"Merced",4,29.7,40048,42392,16348,3.15,42475,6464,43684,9911,2331
"Rialto",4,31.6,49902,53235,32741,3.83,74551,11800,78571,4103,1065
"Roseville",4,38.4,62591,67691,18161,2.72,103853,4413,23499,18171,2635
"Savannah",4,30.3,69389,76295,10355,2.57,57690,82307,9734,5366,2116
"Temecula",4,34.2,54407,57619,18884,3.34,85130,5698,36246,14532,2236
"Turlock",4,36.2,33190,39103,14686,2.76,59308,2307,23559,5232,1187
"Tyler",4,33.9,50422,53283,8225,2.59,72728,26156,21536,2543,1057
"Union City",4,38.5,38599,35911,32752,3.46,16845,5508,13207,44849,243
"Victorville",4,30.6,60989,61247,21959,3.47,86648,26747,60569,7755,5305
"Yuba City",4,34.5,33654,33290,18032,2.9,48746,1912,20890,15065,2163
"Asheville",3,37.9,42100,46407,6630,2.18,77979,9078,4146,1939,496
"Auburn",3,37.1,36837,39743,14842,2.73,58293,4032,10836,12341,3042
"Baldwin Park",3,35.8,38747,38309,34322,4.13,36890,1560,56282,15505,316
"Beaumont",3,31.6,57326,60784,10516,2.47,53597,58008,18815,4079,908
"Boca Raton",3,47.3,44760,48466,21117,2.22,80781,4527,14735,2494,556
"Brandon",3,36.1,55679,58289,16390,2.64,80811,23475,26224,9440,1921
"Buffalo",3,33.1,124537,133529,24630,2.27,130078,101254,29656,14518,4406
"Carmichael",3,41,29281,33934,7378,2.39,55862,4675,9291,4205,2603
"Chandler",3,35.6,128885,131948,38721,2.78,207993,16163,57159,33079,6601
"Clearwater",3,47,55225,57754,17686,2.4,97195,12369,17211,2434,867
"Dearborn",3,33.5,46482,48698,23920,3.04,88742,3699,3533,4134,713
"Denton",3,28.7,62478,68569,18451,2.66,106278,15542,29350,7061,1857
"El Cajon",3,32.7,54450,49238,31865,3.14,84703,7534,31542,4561,1891
"Fremont",3,38.3,114383,117808,109427,3.12,67294,7762,29594,141953,1606
"Fullerton",3,34.5,69549,71300,43404,2.97,92216,5241,53459,33937,1668
"Gilbert",3,33.2,116711,130812,24531,3.2,211322,9076,39937,19740,5965
"Green Bay",3,32.9,52517,52704,9813,2.37,82033,7561,16786,5652,6547
"Greenville",3,26.2,39897,50691,4183,2.4,50289,37355,4409,2787,917
"High Point",3,35.5,51751,58077,16315,2.65,58004,39369,11446,11060,1181
"Hollywood",3,41.4,75358,74363,55158,2.65,107916,34916,53247,4696,1010
"Irvine",3,34.6,125411,131516,116366,2.73,127358,8670,19266,126499,799
"Jurupa Valley",3,33.8,49430,50884,25338,3.87,58201,3091,66525,4992,1554
"Kalamazoo",3,26.4,37175,38865,3482,2.36,56866,19194,4114,2429,954
"Kenner",3,36.9,33993,33113,12352,2.57,44863,17172,17769,2729,158
"Lansing",3,31.4,54333,59777,8371,2.39,75688,34196,14245,4168,5254
"Longmont",3,36.8,43941,48280,10424,2.63,85853,1782,24846,2255,1682
"Mesquite",3,34.6,69240,75884,26755,2.96,98597,37339,56753,4496,2564
"Newport News",3,32.8,88385,94000,12589,2.46,95151,79245,15780,8275,2201
"Norman",3,30.9,59483,60814,8705,2.47,106409,6620,11732,6539,10801
"Pasco",3,28.6,35298,32799,16265,3.45,55741,2265,38883,2215,1054
"Paterson",3,34,70640,77117,49810,3.37,54885,45858,85555,9653,1083
"Pawtucket",3,39.2,36072,35511,17884,2.41,47614,15513,16117,2150,1359
"Pembroke Pines",3,40.3,77050,89574,62210,2.94,113624,34507,60519,12910,1076
"Peoria",3,36.9,80139,91103,14260,2.97,151232,8514,41129,6631,3108
"Pleasanton",3,41.3,36662,42857,23208,2.87,49934,1919,7949,27662,608
"Pompano Beach",3,42.5,56569,51202,32733,2.55,67360,38653,23225,1089,2138
"Portsmouth",3,33.6,45900,50301,1815,2.54,43004,52972,3896,1785,1584
"Santa Barbara",3,37.8,45068,46784,19441,2.51,73659,2013,31102,4964,1560
"Schenectady",3,36.7,32398,32901,10961,2.82,40278,15640,5957,5140,1059
"Temple",3,33.6,33512,38785,3968,2.59,54698,14747,21372,1781,1615
"Thornton",3,33.1,65482,67977,17949,2.97,119264,4569,49241,7034,2967
"Toledo",3,36.1,135455,144323,9257,2.29,188325,85552,23614,6850,3942
"Tuscaloosa",3,29.1,47293,51045,4706,2.67,52603,42331,2475,2733,261
"Vacaville",3,35.8,50091,46703,10577,2.9,66825,18023,23395,9273,3140
"Waterbury",3,36.2,52235,56572,19967,2.71,69075,26972,38222,4080,492
